Modello,Parametri,Log-Verosimiglianza,AIC,BIC
t-Student,"ρ=0.8603, ν=6.3485",119436.68344346998,-238869.36688693997,-238851.83430070808
Gaussiana,ρ=0.8602,31387.26078312724,-62772.52156625448,-62763.755273138544
Clayton,θ=2.7046,20215.123380618883,-40428.246761237766,-40419.48046812183
Gumbel,θ=1.7410,7954.291589442105,-15906.58317888421,-15897.816885768272
Frank,θ=2.9536,-88617.94095298614,177237.8819059723,177246.64819908823
